text,category
dizziness fainting diarrhea vomiting blood rectal bleeding,Digestive
shortness of breath sore throat vomiting wheezing difficulty breathing,Respiratory
insomnia difficulty in swallowing fatigue sweating,Respiratory
skin swelling skin lesion irregular appearing scalp skin irritation,Skin
chest tightness cough difficulty in swallowing nausea,Digestive
white discharge from eye pain in eye eye redness lacrimation,General
skin swelling toothache facial pain ear pain jaw swelling gum pain mouth pain pain in gums,General
white discharge from eye diminished vision symptoms of eye spots or clouds in vision,General
depressive or psychotic symptoms insomnia chest tightness palpitations irregular heartbeat breathing fast,Mental
headache ear pain neck stiffness or tightness mouth pain,Musculoskeletal
anxiety and nervousness shortness of breath abusing alcohol hostile behavior feeling ill,Mental
shortness of breath sharp chest pain weakness decreased heart rate,Respiratory
retention of urine blood in stool nausea pain of the anus burning abdominal pain changes in stool appearance rectal bleeding constipation,Digestive
leg pain wrist swelling skin growth foot or toe pain knee swelling,Musculoskeletal
depression slurring words disturbance of memory loss of sex drive,Mental
depression shortness of breath abnormal involuntary movements increased heart rate fears and phobias,Mental
skin swelling abnormal appearing skin skin lesion irregular appearing scalp itchy scalp,Skin
depressive or psychotic symptoms hostile behavior disturbance of memory delusions or hallucinations temper problems,Mental
abnormal appearing skin skin growth,Skin
anxiety and nervousness dizziness sharp abdominal pain vomiting,Mental
wrist swelling knee swelling knee stiffness or tightness ankle swelling,Musculoskeletal
blood in stool nausea diarrhea heartburn upper abdominal pain melena,Digestive
abusing alcohol sharp abdominal pain vomiting involuntary urination,General
retention of urine suprapubic pain vaginal itching frequent urination,General
"vaginal itching vaginal discharge skin dryness, peeling, scaliness, or roughness",General
vomiting fever difficulty breathing coryza,Respiratory
knee pain foot or toe pain ankle pain problems with movement knee stiffness or tightness foot or toe swelling infant feeding problem,Musculoskeletal
blood in stool diarrhea heartburn melena,Digestive
sharp chest pain leg pain weakness difficulty breathing hemoptysis,Respiratory
dizziness hoarse voice ear pain itchy ear(s),General
cough abnormal appearing skin acne or pimples irregular appearing scalp itching of skin warts,Skin
skin swelling skin lesion acne or pimples symptoms of eye skin moles,Skin
nasal congestion vomiting headache ear pain fever skin rash,Respiratory
shortness of breath sharp chest pain fainting sharp abdominal pain vomiting nausea back pain,General
sharp chest pain sore throat throat swelling headache,Respiratory
shortness of breath sharp chest pain headache facial pain pain in eye peripheral edema,Respiratory
abnormal appearing skin irregular appearing scalp pelvic pain skin rash,Skin
depression depressive or psychotic symptoms abusing alcohol hostile behavior drug abuse excessive anger delusions or hallucinations temper problems,Mental
shortness of breath sharp chest pain nasal congestion fever coryza,Respiratory
anxiety and nervousness depression lack of growth feeling ill temper problems obsessions and compulsions,Mental
shortness of breath retention of urine jaundice sharp abdominal pain,Digestive
cough diminished hearing ringing in ear plugged feeling in ear,General
hoarse voice nasal congestion vomiting coryza abnormal breathing sounds pulling at ears,Respiratory
back pain low back pain side pain low back cramps or spasms,Musculoskeletal
shortness of breath cough suprapubic pain sharp abdominal pain weakness decreased appetite fever difficulty breathing chills,General
depression shortness of breath insomnia irregular heartbeat increased heart rate fears and phobias,Mental
sharp abdominal pain intermenstrual bleeding back pain problems during pregnancy spotting or bleeding during pregnancy cramps and spasms,General
back pain burning abdominal pain heartburn side pain upper abdominal pain,Digestive
lump in throat sharp abdominal pain vomiting blood recent weight loss,Digestive
sharp abdominal pain lower abdominal pain pelvic pain uterine contractions,General
retention of urine mass in scrotum painful urination,General
hip pain arm pain paresthesia lower body pain joint pain,Musculoskeletal
sore throat throat swelling throat feels tight difficulty in swallowing headache swollen lymph nodes,Respiratory
anxiety and nervousness depression dizziness insomnia abnormal involuntary movements headache,Mental
sharp chest pain nausea burning abdominal pain side pain lower body pain regurgitation.1,Digestive
skin lesion facial pain pain in eye back pain itching of skin,Skin
anxiety and nervousness depressive or psychotic symptoms insomnia excessive anger temper problems fears and phobias,Mental
blood in stool vomiting nausea swollen lymph nodes rectal bleeding,Digestive
skin lesion acne or pimples irregular appearing scalp,Skin
anxiety and nervousness depression smoking problems excessive anger delusions or hallucinations,Mental
drug abuse smoking problems delusions or hallucinations,Mental
anxiety and nervousness depression depressive or psychotic symptoms abusing alcohol hostile behavior drug abuse disturbance of memory,Mental
sharp abdominal pain vaginal dryness lower body pain changes in stool appearance,Digestive
throat swelling vomiting headache peripheral edema allergic reaction skin rash,Skin
skin lesion skin growth irregular appearing scalp pelvic pain itching of skin skin rash,Skin
sharp chest pain chest tightness cough nasal congestion vomiting coryza,Respiratory
hostile behavior excessive anger delusions or hallucinations nightmares,Mental
leg pain hip pain knee pain knee swelling leg stiffness or tightness ankle swelling,Musculoskeletal
lip swelling mouth ulcer ear pain jaw swelling gum pain pain in gums,General
lack of growth drug abuse temper problems antisocial behavior,Mental
abnormal involuntary movements difficulty speaking headache facial pain diminished vision abnormal movement of eyelid,General
difficulty speaking problems with movement focal weakness disturbance of memory seizures,General
sharp chest pain cough wheezing coughing up sputum coryza congestion in chest,Respiratory
leg pain hip pain knee weakness knee swelling leg swelling ankle swelling,Musculoskeletal
difficulty speaking headache double vision back pain disturbance of memory rib pain sleepiness,General
blood in stool sharp abdominal pain vomiting diarrhea burning abdominal pain decreased appetite fever chills fluid retention flu-like syndrome,Digestive
sharp abdominal pain back pain weakness seizures,General
skin lesion acne or pimples skin growth irregular appearing scalp warts skin rash,Skin
hand or finger stiffness or tightness neck pain elbow pain shoulder weakness,Musculoskeletal
sore throat mouth ulcer swollen lymph nodes skin rash,Respiratory
skin swelling acne or pimples too little hair,Skin
hip pain low back pain loss of sensation side pain lower body pain back cramps or spasms back stiffness or tightness,Musculoskeletal
"skin swelling skin moles long menstrual periods skin dryness, peeling, scaliness, or roughness skin rash",Skin
wrist pain elbow pain shoulder pain hand or finger weakness,General
retention of urine swelling of scrotum frequent urination excessive urination at night symptoms of bladder hesitancy,General
anxiety and nervousness depressive or psychotic symptoms smoking problems excessive anger delusions or hallucinations obsessions and compulsions,Mental
headache apnea abnormal breathing sounds painful sinuses,Respiratory
anxiety and nervousness depressive or psychotic symptoms abusing alcohol hostile behavior drug abuse excessive anger delusions or hallucinations temper problems low self-esteem,Mental
knee weakness knee swelling problems with movement leg swelling leg stiffness or tightness ankle swelling,Musculoskeletal
sharp abdominal pain heartburn mass or swelling around the anus itching of the anus,Digestive
vomiting diarrhea,Digestive
leg pain hip pain headache problems with movement loss of sensation,Musculoskeletal
sore throat cough fever difficulty breathing,Respiratory
lip swelling diminished vision symptoms of eye spots or clouds in vision eye redness lacrimation eye burns or stings,General
nasal congestion skin swelling mouth ulcer fever itching of skin sore in nose,Skin
depressive or psychotic symptoms difficulty speaking vomiting,General
pain of the anus regurgitation burning abdominal pain regurgitation.1,Digestive
skin swelling lip swelling abnormal appearing skin skin lesion skin growth irregular appearing scalp lymphedema irregular appearing nails,Skin
abnormal appearing skin neck swelling skin on leg or foot looks infected irregular appearing nails skin on arm or hand looks infected,Skin
anxiety and nervousness shortness of breath palpitations abusing alcohol hostile behavior feeling ill,Mental
skin swelling acne or pimples skin rash,Skin
hip pain ankle pain elbow pain knee swelling,Musculoskeletal
loss of sex drive premature ejaculation,Mental
anxiety and nervousness depression depressive or psychotic symptoms hostile behavior,Mental
sharp chest pain back pain burning abdominal pain side pain lower body pain upper abdominal pain stomach bloating,Digestive
depression hostile behavior excessive anger fears and phobias,Mental
burning abdominal pain side pain lower body pain upper abdominal pain,Digestive
sharp chest pain vomiting headache fever,General
nausea diarrhea lower abdominal pain burning abdominal pain decreased appetite fever,Digestive
leg pain back pain neck pain problems with movement loss of sensation paresthesia lower body pain,Musculoskeletal
"sharp chest pain arm pain neck pain low back pain muscle cramps, contractures, or spasms",Musculoskeletal
depression insomnia hostile behavior headache smoking problems excessive anger delusions or hallucinations obsessions and compulsions,Mental
skin swelling skin lesion itching of skin,Skin
sharp chest pain arm pain decreased appetite loss of sensation,Musculoskeletal
hand or finger pain knee pain ankle pain knee weakness elbow pain knee swelling joint pain,Musculoskeletal
shortness of breath insomnia mouth dryness fatigue apnea sweating,Respiratory
"abnormal appearing skin skin growth irregular appearing scalp skin moles skin dryness, peeling, scaliness, or roughness skin rash",Skin
sharp chest pain arm pain decreased appetite loss of sensation shoulder pain,Musculoskeletal
depression shortness of breath depressive or psychotic symptoms dizziness palpitations irregular heartbeat,Mental
cough nasal congestion headache ear pain fever difficulty breathing coryza nosebleed,Respiratory
abnormal appearing skin skin lesion itching of skin skin rash,Skin
cough drug abuse shoulder pain,Respiratory
leg pain arm stiffness or tightness knee pain elbow pain,Musculoskeletal
leg pain hip pain arm pain low back pain arm weakness,Musculoskeletal
vomiting headache blindness disturbance of memory,General
abnormal involuntary movements back pain low back pain problems with movement loss of sensation ache all over,Musculoskeletal
leg pain skin growth knee pain foot or toe pain knee lump or mass wrist lump or mass,Musculoskeletal
skin swelling swelling of scrotum abnormal appearing skin skin lesion,Digestive
sharp abdominal pain vomiting diarrhea vomiting blood regurgitation.1,Digestive
hand or finger swelling wrist swelling arm stiffness or tightness bones are painful loss of sensation,Musculoskeletal
leg pain hip pain back pain neck pain low back pain paresthesia shoulder pain,Musculoskeletal
blood in stool diarrhea cramps and spasms melena rectal bleeding constipation,Digestive
headache wrist pain arm pain back pain neck pain low back pain foot or toe pain shoulder pain,Musculoskeletal
shortness of breath depressive or psychotic symptoms difficulty in swallowing vomiting weakness,General
back pain low back pain pelvic pain,Musculoskeletal
skin growth foot or toe pain skin moles foot or toe lump or mass,Musculoskeletal
cough abusing alcohol excessive anger coughing up sputum hurts to breath,Mental
abusing alcohol sharp abdominal pain nausea diarrhea back pain ache all over,Digestive
sore throat headache ear pain fever difficulty breathing coryza,Respiratory
sharp abdominal pain back pain burning abdominal pain side pain hemoptysis,Digestive
lack of growth headache hot flashes acne or pimples excessive growth,General
skin swelling acne or pimples skin growth skin moles itching of skin skin irritation,Skin
leg pain hip pain arm stiffness or tightness arm swelling knee pain knee swelling leg swelling shoulder pain shoulder stiffness or tightness elbow swelling,Musculoskeletal
shortness of breath abnormal involuntary movements peripheral edema problems with movement allergic reaction skin rash,General
depression depressive or psychotic symptoms abnormal involuntary movements problems with movement focal weakness slurring words,Mental
depression depressive or psychotic symptoms abusing alcohol restlessness delusions or hallucinations temper problems,Mental
dizziness diminished hearing emotional symptoms,General
cough suprapubic pain painful urination abnormal appearing skin skin rash,General
shortness of breath blood in stool jaundice nausea diarrhea upper abdominal pain unusual color or odor to urine,Digestive
leg pain weakness difficulty breathing,Respiratory
sore throat nasal congestion facial pain apnea painful sinuses,Respiratory
skin swelling skin lesion irregular appearing scalp warts,Skin
swelling of scrotum pain in testicles involuntary urination frequent urination blood in urine excessive urination at night hesitancy low urine output,General
sore throat nasal congestion vomiting headache ear pain fever chills coryza,Respiratory
sharp chest pain nausea burning abdominal pain upper abdominal pain,Digestive
leg pain hip pain neck pain side pain stiffness all over,Musculoskeletal
leg pain hand or finger pain arm pain back pain neck pain low back pain foot or toe pain loss of sensation paresthesia ache all over,Musculoskeletal
restlessness temper problems fears and phobias obsessions and compulsions,Mental
retention of urine nausea constipation,Digestive
blood in stool jaundice weakness side pain upper abdominal pain unusual color or odor to urine,Digestive
sore throat cough vomiting headache ear pain fever chills,Respiratory
blood in stool diarrhea constipation itching of the anus,Digestive
hip pain arm pain back pain neck pain knee pain paresthesia ache all over,Musculoskeletal
shortness of breath chest tightness irregular heartbeat fatigue,General
leg pain hip pain hand or finger swelling shoulder pain,Musculoskeletal
anxiety and nervousness depression difficulty speaking abusing alcohol hostile behavior drug abuse excessive anger delusions or hallucinations temper problems,Mental
symptoms of eye pain in eye spots or clouds in vision,General
hand or finger swelling allergic reaction fluid retention itching of skin,Skin
"skin swelling abnormal appearing skin skin growth irregular appearing scalp skin moles skin dryness, peeling, scaliness, or roughness warts",Skin
suprapubic pain vaginal discharge burning abdominal pain problems during pregnancy,General
skin swelling acne or pimples skin growth pelvic pain,Skin
blood in stool sharp abdominal pain vomiting blood regurgitation peripheral edema upper abdominal pain regurgitation.1,Digestive
